#Table1
objid,ra,dec,u,g,r,i,z,redshift,specobjid,plate,mjd,fiberid
1237645879551000764,348.841086940713,1.26880178583458,25.92735,20.9957,19.24612,18.56461,18.43049,0.3996509,4825695603672457216,4286,55499,322
1237645879551066262,348.902530171573,1.27188624932946,19.38905,18.24496,17.58728,17.20807,16.90905,0.03212454,430194949951088640,382,51816,368
1237645879562928144,16.0049119708675,1.25942250972049,21.50923,19.6934,18.47973,17.91998,17.55132,0.3120482,754455784200366080,670,52520,374
1237645879562928258,16.0202444868512,1.26766725996923,20.96947,20.29136,19.36779,18.86387,18.45551,0.2004682,754453860055017472,670,52520,367
1237645879562928805,16.026028703005,1.26677200796832,25.27165,22.32081,21.33033,19.94852,19.47201,0.7526451,4853831831466778624,4311,55506,281
1237645879573873373,41.0196126806213,1.27127864890579,22.64928,22.0096,20.40414,19.57801,19.20975,0.5046994,4797482960004554752,4261,55503,85
1237645879577477252,49.2489417995925,1.27243115303389,21.41706,18.80885,17.70065,17.20334,16.81356,0.1106111,465100870804072448,413,51821,379
oon1237645879577739681,49.8737599539194,1.27121021048005,22.98776,21.34827,19.75467,19.14825,18.81528,0.2937785,910974839957776384,809,52647,443
1237645879577936138,50.2348350060831,1.27194527496731,19.78651,18.34659,17.64557,17.25275,17.00746,0.07429758,465154746873833472,413,51821,575
1237645879578460255,51.4436950026148,1.27007271795861,19.52808,17.96541,17.03493,16.53754,16.14154,0.1213151,466235292731336704,414,51869,410
1237645879578460271,51.4835835170322,1.27201267342336,18.72268,17.3852,16.81134,16.51803,16.29502,0.04876465,466232818830174208,414,51869,401
1237645879578460507,51.4756671357035,1.2704058303334,21.15835,19.97747,19.44971,19.12359,19.07743,0.0488077,906466566382577664,805,52586,426
1237645879579967591,54.9285003138559,1.27188765009276,20.75028,18.53424,17.398,16.89366,16.50811,0.1317873,468489015717292032,416,51811,417
1237645941824356443,40.2856904119424,-0.71495662825756,17.54884,15.75164,15.031,14.66728,14.36099,0.04028672,459394680333821952,408,51821,100
1237645941824356668,40.2778355788529,-0.777074114700314,22.33754,21.00746,19.83828,19.30565,18.87624,0.3667448,4773908605266010112,4240,55455,338
1237645941824357025,40.2847510935017,-0.767710946671086,24.21344,23.15401,21.48509,20.27396,19.88383,0.6265841,4110775821756506112,3651,55247,419
1237645942898230100,40.5799717733161,0.119814623956833,22.70307,22.00335,20.28827,19.29591,18.85664,0.5112135,4109768669055131648,3650,55244,851
1237645942898230422,40.5873087949461,0.0996939020411944,22.90015,23.03041,21.75114,20.3216,19.39912,0.6881828,8810420601296494592,7825,57030,923
1237645942904389827,54.5507319566264,0.220213661483242,20.65226,19.77637,20.11424,19.77093,19.80214,0.04265009,907631224174962688,806,52592,567
1237645942904520927,54.9367873178738,0.216797620844987,21.30107,19.02937,17.60633,17.04571,16.68989,0.201277,468504134002173952,416,51811,472
1237645942904717681,55.2761295657884,0.217558502453856,23.3517,22.57222,20.95299,20.02961,19.64134,0.5083391,2971379390706903040,2639,54116,471
1237645942904783006,55.4641388645941,0.222407524288394,20.48714,19.25844,18.47575,18.04646,17.82076,0.19464,1195821743483152384,1062,52619,422
1237645942904914122,55.7170652515606,0.217693165447775,22.2821,20.27493,18.59249,17.99164,17.71293,0.2994811,804041554237876224,714,52201,542
1237645942905045292,56.1074243089963,0.219118990183263,22.03606,20.82122,19.75666,19.30884,19.16476,0.3065799,1837632250586359808,1632,52996,595
1237645942905110768,56.2438035346805,0.216316768206566,22.95562,20.73321,19.23019,18.66667,18.31896,0.3097279,1837631151074732032,1632,52996,591
1237645942905110842,56.2342367230983,0.222159905209195,21.16108,20.64433,19.94781,19.27042,18.99279,0.4469347,1709266191199004672,1518,52937,546
1237645942905241816,56.5276884973467,0.218000706353456,21.70585,20.94496,19.33368,18.66559,18.27108,0.3311663,2970286750674479104,2638,54095,592
1237645942905242169,56.5572482453827,0.223548087494704,23.88601,20.90375,19.60435,19.35194,18.50815,0.2950576,1838704549334902784,1633,52998,400
1237645942905308066,56.7248399645421,0.218764930622861,23.34023,22.43101,20.86535,19.75755,19.40863,0.5315121,2971423651905169408,2639,54465,632
1237645942905438473,57.025336578067,0.20884499634774,17.61444,16.17125,15.52131,15.15564,14.86996,0.0254747,1398488404370417664,1242,52901,439
1237645942905438495,57.0470524254038,0.0843042629762005,19.46874,18.18264,17.59063,17.26436,16.95295,0.03616738,1721601612033583104,1529,52930,366
1237645942905438525,57.0136570780455,0.0693325259958899,22.38827,19.86009,18.49191,17.87029,17.45002,0.1603132,1399611555984730112,1243,52930,429
1237645942905503983,57.0700239357384,0.0954172707429963,21.95547,19.46501,18.15706,17.61316,17.19836,0.1601027,1398485655591348224,1242,52901,429
1237645942905504034,57.089446530672,0.136492178740488,20.53193,19.27795,18.45775,17.93195,17.68486,0.16669,1721602986423117824,1529,52930,371
1237645942905504040,57.0994799753187,0.0330585707439887,22.98516,20.25446,18.94606,18.39507,17.95652,0.1643605,1399612105740544000,1243,52930,431
1237645942905504072,57.075443922246,0.0383648448505608,22.7861,21.08798,18.89296,18.15633,17.72626,0.3491151,1399614029885892608,1243,52930,438
1237645942905504193,57.0907859055943,0.0187710668412064,22.25442,20.43562,19.43797,18.91736,18.53516,0.1647512,1399612380618450944,1243,52930,432
1237645942905504327,57.1921407427998,0.0771055776463098,22.30194,20.78894,19.58793,19.08709,18.6004,0.3121592,1838725165177923584,1633,52998,475
1237645942905569462,57.2844963512669,0.107782266062987,21.2,19.39919,18.10002,17.54482,17.11938,0.1598198,1398497750219253760,1242,52901,473
1237645942905569536,57.2641356266993,0.16124378403801,20.94042,19.30544,18.31758,17.76954,17.3976,0.177241,1398499124608788480,1242,52901,478
1237645942905569544,57.2801894909707,0.0786401635330476,21.13446,19.76614,18.94912,18.453,18.17944,0.1600642,1721614531295209472,1529,52930,413
1237645942905569550,57.296591928676,0.185305587438392,20.19031,18.32233,17.08584,16.46969,16.04961,0.1776698,1398496375829719040,1242,52901,468
1237645942905569555,57.3175231235863,0.057783314154267,22.54278,20.2562,18.67502,18.09108,17.70608,0.2456205,1838642152050026496,1633,52998,173
1237645942905569679,57.229650238514,0.0145254676654616,24.91026,22.35938,20.56165,19.45983,18.88576,0.499967,1721613981539395584,1529,52930,411
1237645942905569773,57.2725714970881,0.0648186000820685,23.44216,21.65008,19.89881,19.24122,18.71173,0.3364788,1838727913956993024,1633,52998,485
1237645942905569896,57.3421728897895,0.144357560506065,21.94741,21.03773,20.00528,19.53531,19.15686,0.2452311,1838731762247690240,1633,52998,499
1237645942905634844,57.4014346150012,0.110856237255706,24.59084,22.52391,20.49731,19.67047,19.21177,0.3169449,1721615630806837248,1529,52930,417
1237645942905634957,57.4422899379624,0.158841102521224,20.19108,18.12336,16.78304,16.20603,15.78033,0.1593094,1398494451684370432,1242,52901,461
1237645942905634975,57.4526719197642,0.0443438623667923,21.0615,18.95099,17.8576,17.32337,16.92929,0.135144,1398499399486695424,1242,52901,479
1237645942905634991,57.4584469049334,0.0522754723131939,20.72111,18.83282,17.6603,17.12585,16.69701,0.1297809,1721625251533580288,1529,52930,452
1237645942905635004,57.490402123062,0.0743531086380666,20.41156,18.1079,16.81639,16.24067,15.76244,0.1315637,1398501598509950976,1242,52901,487
1237645942905635005,57.4884302017122,0.0755838160432975,22.9423,20.56686,19.3359,18.776,18.31603,0.1333835,1399624200368449536,1243,52930,475
1237645942905635032,57.3912037543485,0.224049638296548,22.39327,21.63896,20.0725,19.42778,19.03903,0.2465844,1399623375734728704,1243,52930,472
1237645942905635068,57.4752352677671,0.0583019037518934,22.39075,19.8304,18.47026,17.82543,17.31905,0.1355777,1721626625923115008,1529,52930,457
1237645942905635071,57.4800845774629,0.105864522543259,20.80197,19.00256,17.95014,17.38851,16.98455,0.1320954,1721622777632417792,1529,52930,443
1237645942905635109,57.4870185376841,0.0991617413774586,24.10896,21.27812,19.3722,18.63174,18.16487,0.3272851,1399624750124263424,1243,52930,477
1237645942905635146,57.4664018459354,0.0594492045984149,23.35666,24.19055,22.57578,21.2795,21.48138,0.1299547,1398497200463439872,1242,52901,471
1237645942905635180,57.3575283813659,0.0257496486446967,21.94486,20.99007,19.98867,19.6284,19.26991,0.3261498,1838643251561654272,1633,52998,177
1237645942905635226,57.3800889510165,0.130206802197606,21.22626,20.34284,19.67066,19.4035,19.28424,0.1732017,1721614256417302528,1529,52930,412
1237645942905635256,57.3931008093909,0.11767735423807,24.73534,22.26351,20.34822,19.5885,19.22824,0.3937556,1838730937613969408,1633,52998,496
1237645942905635298,57.4122299167518,0.0523108644177452,20.34944,18.90586,18.09445,17.62329,17.23389,0.1598828,1398498849730881536,1242,52901,477
1237645942905635342,57.428936468934,0.07306749188112,22.02452,20.925,19.74058,19.23929,18.84511,0.3616371,1838730112980248576,1633,52998,493
1237645942905635435,57.4854361257723,0.168402627107645,22.1916,21.11599,20.08304,19.57032,19.05955,0.2699885,1838730387858155520,1633,52998,494
1237645942905635440,57.488525504256,0.19691759282997,21.18203,20.00773,18.98668,18.46308,18.20817,0.2330052,1838732037125597184,1633,52998,500
1237645942905635444,57.4916398963253,0.208396343409931,23.75616,22.49737,20.55482,19.5497,19.06884,0.5074175,1721627175678928896,1529,52930,459
1237645942905635463,57.4982737430737,0.14445542006054,22.56085,20.9637,19.7743,19.40597,18.82285,0.3083879,1838731487369783296,1633,52998,498
1237645942905635472,57.5014213641853,0.058541776687436,21.72765,20.87591,19.47204,18.94223,18.60406,0.2457161,1838635280102352896,1633,52998,148
1237645942905700478,57.5089002899894,0.0665637241165031,20.8444,18.73602,17.44259,16.77572,16.33969,0.1314003,1398502698021578752,1242,52901,491
1237645942905700479,57.5096417265807,0.0671614984359531,21.90292,19.43848,18.09329,17.61892,17.06034,0.1306191,1721625526411487232,1529,52930,453
1237645942905700561,57.50744550499,0.0275951673198642,20.25136,18.69544,17.88887,17.43269,17.14268,0.1318834,1398503247777392640,1242,52901,493
1237645942905700564,57.5085161588464,0.0345378237186341,21.47253,19.8225,18.6819,18.14411,17.76768,0.1353511,1399623925490542592,1243,52930,474
1237645942905700585,57.5989318731629,0.0636169811684418,22.81235,21.48987,20.04629,19.59547,18.99735,0.2418127,1838732586881411072,1633,52998,502
1237645942905700587,57.6052689899755,0.0513293192029054,21.36971,19.8243,18.92685,18.33403,18.00107,0.1318457,1399629697926588416,1243,52930,495
1237645942905700593,57.6070986681323,0.177155588859477,21.13612,19.83283,19.15413,18.71026,18.50585,0.132174,1399629423048681472,1243,52930,494
1237645942905700594,57.6139520196035,0.0820547400548133,21.24216,20.18587,19.36745,18.83952,18.56272,0.1351828,1721624976655673344,1529,52930,451
1237645942905700711,57.5172247041921,0.108371903646476,24.02369,21.91687,20.28049,19.21333,18.65386,0.5009795,1721623602266138624,1529,52930,446
1237645942905700828,57.5907079427272,0.0362108399625718,22.52548,22.23056,20.09829,19.02595,18.3422,0.5054128,1721626076167301120,1529,52930,455
1237645942905701086,57.588717033246,0.139947311860307,24.35701,22.49514,20.3319,19.28329,18.71613,0.4737468,1721627450556835840,1529,52930,460
1237645942905765958,57.7692716788675,0.0183853337606377,24.20345,24.53743,21.62383,20.44507,20.40582,0.0002609348,1721632673237067776,1529,52930,479
1237645942905766109,57.674970579129,0.212510628368243,21.52771,20.26473,19.55693,19.1268,18.86871,0.1588084,1399631072316123136,1243,52930,500
1237645942905766132,57.7660135191018,0.124099746615678,20.09053,18.59606,17.84047,17.39025,17.1036,0.1249654,1398505721678555136,1242,52901,502
1237645942905766142,57.7906026584184,0.121106174744885,21.19587,19.28557,18.20333,17.63428,17.28471,0.1725226,1398507370945996800,1242,52901,508
1237645942905766165,57.7883386991676,0.0175339225540826,21.0911,19.64805,18.6079,18.06926,17.59928,0.2349057,1838627583520958464,1633,52998,120
1237645942905766242,57.6643984335227,0.168109525048782,21.6652,20.27332,19.45184,19.03989,18.6847,0.1252175,1399627498903332864,1243,52930,487
1237645942905766350,57.7228443140538,0.0637326787832327,23.4214,20.59702,19.74972,19.31616,19.08722,0.132197,1399629148170774528,1243,52930,493
1237645942905766378,57.7403283658017,0.197672606418506,21.41442,20.39729,19.33007,18.83863,18.31886,0.2337731,1838734511026759680,1633,52998,509
1237645942905831467,57.851216369129,0.0287110288436736,22.28006,19.88432,18.452,17.8343,17.41785,0.2464816,1838625384497702912,1633,52998,112
1237645942905831605,57.8654633145069,0.149956863193641,22.19689,19.6663,18.3876,17.53941,17.1504,7.551349E-05,1721632398359160832,1529,52930,478
1237645942905831669,57.9442128546507,0.0771605015961605,21.10596,18.82472,17.4814,16.91919,16.46698,0.1671959,1398517816306460672,1242,52901,546
1237645942905831709,57.8998884551633,0.0907623567050048,20.57331,18.70531,17.68302,17.17095,16.76792,0.1345017,1398507096068089856,1242,52901,507
1237645942905831720,57.9103038121539,0.140565762049484,20.91702,19.75148,19.01481,18.60482,18.32499,0.1723519,1399636569874262016,1243,52930,520
1237645942905831780,57.8949501832176,0.0411267256016719,20.39181,18.90447,18.29212,17.89178,17.68533,0.08220381,1721638170795206656,1529,52930,499
1237645942905832091,57.9508443174299,0.0712786748975068,22.55081,21.3328,20.05217,19.59954,19.16396,0.1671552,1838745231265130496,1633,52998,548
1237645942905896989,58.0162773125364,0.100637358236252,21.19741,19.65799,18.33916,17.73132,17.31156,0.1653405,1398521664597157888,1242,52901,560
1237645942905897107,58.0002029149538,0.0163853011113631,21.0184,18.85107,17.70889,17.12109,16.67537,0.08295874,1398516441916925952,1242,52901,541
1237645942905897117,58.0166517636597,0.0367886761406666,20.37586,18.36344,17.27271,16.75497,16.33305,0.08232159,1398516716794832896,1242,52901,542
1237645942905897152,58.0630138368383,0.0881682357798876,21.59543,19.01165,17.69961,17.13699,16.71766,0.1654301,1398520290207623168,1242,52901,555
1237645942905897218,58.0231803215902,0.0480566842569108,20.39582,18.50271,17.33616,16.70716,16.20381,0.08173548,1721637895917299712,1529,52930,498
1237645942905897335,57.9679570522477,0.0340010680895592,21.28426,19.4671,18.74214,18.32163,18.13092,0.0819518,1399632446705657856,1243,52930,505
1237645942905897471,58.038382664357,0.117741601203829,22.44247,20.96329,20.00247,19.47096,19.38536,0.2358172,1838758975160477696,1633,52998,598
1237645942905897517,58.0580008820462,0.176158361845024,22.30926,20.44593,19.1405,18.58247,18.28402,0.240065,1838759524916291584,1633,52998,600
1237645942905962547,58.1532460413965,0.190729709645141,19.93018,18.52524,17.71631,17.23098,16.9971,0.1506906,1398532384835528704,1242,52901,599
1237645942905962656,58.1060839107507,0.190851328472913,23.9199,20.93173,19.40141,18.01012,17.23484,5.016178E-05,1838756226381408256,1633,52998,588
1237645942905962737,58.1371962516467,0.108388685288902,22.53588,20.58376,18.9942,18.41136,18.03853,0.2485852,1838757875648849920,1633,52998,594
1237645942905962758,58.1870159492332,0.194514493388274,20.61068,18.94984,18.05605,17.6171,17.26695,0.1692383,1398531010445993984,1242,52901,594
1237645942905962829,58.1428750624015,0.166722135725773,21.33719,20.14786,19.08738,18.57124,18.2515,0.2234489,1838757051015129088,1633,52998,591
1237645942905962934,58.1246463306344,0.0882899282435546,23.31299,20.93886,19.71641,19.01187,18.70278,0.2402734,1399642342310307840,1243,52930,541
1237645942905963091,58.2125760383814,0.154816885737091,22.85555,21.38138,20.16267,19.66467,19.37187,0.3810692,1838758700282570752,1633,52998,597
1237645942905963160,58.2477686693511,0.216330425349991,26.32709,21.1452,19.27499,18.50337,17.99817,0.3671646,1399644816211470336,1243,52930,550
1237645942906028178,58.3867668183645,0.0613594387481558,21.22607,19.2852,17.83544,17.1959,16.75728,0.1706498,1398543105073899520,1242,52901,638
1237645942906028179,58.3871955763298,0.0653930072093079,21.5316,20.27097,19.21834,18.65755,18.38894,0.1985118,1721659336394041344,1529,52930,576
1237645942906028201,58.2801361399661,0.126113106404287,22.33375,20.68907,19.1437,18.54177,18.01597,0.3231319,1399642617188214784,1243,52930,542
1237645942906028225,58.3625103148127,0.0569868351026609,21.90226,19.58863,18.29155,17.67697,17.23689,0.1698315,1398542555318085632,1242,52901,636
1237645942906028261,58.3852418765518,0.0295488551496426,23.21402,21.31877,19.60581,18.90995,18.45097,0.2473035,1399655261571934208,1243,52930,588
1237645942906028262,58.3874252746335,0.119544195529583,22.43977,20.52178,19.15025,18.4628,17.96334,0.1706802,1838754851991873536,1633,52998,583
1237645942906028313,58.2560055700471,0.0198200135695897,23.64763,21.40003,19.98352,19.30569,18.86954,0.3258542,1838616313526773760,1633,52998,79
1237645942906028426,58.3131451368384,0.12342131595955,22.74771,21.45155,19.34433,18.5771,18.09097,0.3684698,1399647564990539776,1243,52930,560
1237645942906028440,58.3230721873468,0.121538129622172,23.16149,21.59719,19.54335,18.7386,18.31149,0.3686946,1721656037859158016,1529,52930,564
1237645942906028449,58.3268590003409,0.201040934212002,23.53078,21.42155,19.86593,19.12488,18.55572,0.2162786,1838757325893036032,1633,52998,592
1237645942906028522,58.3589679335867,0.152378487352923,26.38953,20.94737,19.11162,18.36302,17.89128,0.2698921,1838759250038384640,1633,52998,599
1237645942906028543,58.3691278160825,0.196246893897141,23.72132,20.87369,20.17279,19.78598,20.09772,0.05351376,1721660435905669120,1529,52930,580
1237645942906093750,58.4452785486856,0.179768241814187,22.41751,20.27272,18.49207,17.76722,17.2261,0.246883,1721659611271948288,1529,52930,577
1237645942906093885,58.4376384854205,0.0280703413517161,22.15228,20.73248,19.45131,18.787,18.33272,0.1981291,1399655811327748096,1243,52930,590
1237645942906093991,58.5305168507183,0.222928823292057,23.17059,20.77441,19.43094,18.65598,18.13382,0.1498954,1838767496375592960,1633,52998,629
1237645942906159240,58.6136132735535,0.120461979847594,22.99731,20.74435,19.19653,18.51557,18.01326,0.1835155,1838765572230244352,1633,52998,622
1237645942906159271,58.5770297176188,0.197210963911294,21.63556,20.21417,18.81125,18.22658,17.75514,0.2121624,1838769970276755456,1633,52998,638
1237645942906159404,58.6011016752195,0.181371774700346,22.26302,20.85619,19.93442,19.43712,19.12727,0.1829526,1399656635961468928,1243,52930,593
1237645942906159470,58.6437667124173,0.148231884214958,21.45873,20.18632,19.18346,18.67156,18.38251,0.2097104,1838766121986058240,1633,52998,624
1237645942906159530,58.6880485868955,0.174952637157825,24.00592,20.54317,19.36835,18.71489,18.20515,0.1688475,1399668180833560576,1243,52930,635
1237645942906224685,58.737399820103,0.0264625738053956,22.23869,19.18643,18.43634,18.18148,17.84661,0.06234159,1399664607420770304,1243,52930,622
1237645942906224860,58.7135651907186,0.137413680779271,22.27223,20.70256,18.9009,18.18161,17.72984,0.2749264,1838766671741872128,1633,52998,626
1237645942906224891,58.7015949091267,0.0712582482150458,22.18452,20.8227,19.6452,19.0133,18.47615,0.2688016,1838766396863965184,1633,52998,625
1237645942906225020,58.7550868984329,0.166028958921347,22.31945,19.96884,19.07325,18.56721,18.40355,0.140396,1399665157176584192,1243,52930,624
1237645942906225023,58.7669636307782,0.079315189105901,24.13013,22.01613,20.10822,19.20466,18.73793,0.4112562,1721670331510319104,1529,52930,616
1237645942906290310,58.8721741191512,0.135314258172132,20.27496,19.82026,19.28656,19.07273,18.48734,0.3295562,1721671431021946880,1529,52930,620
1237645942906290513,58.8801439757527,0.182918915773143,23.66079,21.41805,20.20819,19.59889,19.16772,0.2154126,1838766946619779072,1633,52998,627
1237645942906290775,58.9233179514679,0.0512492788125216,23.43689,22.50598,20.85043,20.0553,19.59501,0.317386,1399665432054491136,1243,52930,625
1237645943433461933,36.7913075977962,0.630729546044661,21.14882,19.38595,18.33498,17.90789,17.55046,0.1323461,1755384112518031360,1559,53271,386
1237645943433659112,37.2832939198647,0.630679933780802,24.58783,22.48932,20.72939,19.69421,19.20207,0.4615535,4070341303405092864,3615,56544,775
1237645943433724239,37.4039255392484,0.629883429818285,21.34791,21.00733,20.58221,20.06521,19.9184,0.5832012,7633839523474939904,6780,56605,866
1237645943434642261,39.450031525556,0.630191902619652,22.94494,23.79955,21.62331,20.53627,19.82931,1.278,8810360128156966912,7825,57030,703
1237645943434969247,40.2729265156897,0.60606378585419,21.52482,19.137,17.77446,17.22886,16.89281,0.2178438,4109744754677227520,3650,55244,764
1237645943434969995,40.2858579293148,0.455474779035429,24.88171,24.87792,21.81944,20.78988,19.93387,0.812251,8810406857401147392,7825,57030,873
1237645943435034868,40.3070626108047,0.474893263223954,21.03832,19.96015,19.32418,18.97226,18.75928,0.2023623,1756552619272202240,1560,53317,541
1237645943435034990,40.3237192445106,0.506582165188134,22.40952,21.54809,21.41933,21.24093,21.25659,0.02841123,7635000057494740992,6781,56575,992
1237645943435035137,40.3103680936396,0.45288988807798,23.6668,23.6036,22.30213,22.24644,22.42457,6.357335,8260871489420500992,7337,56662,523
1237645943435035168,40.3421155065793,0.587848792297896,24.78403,23.01854,22.37157,22.2806,22.4921,-5.782154E-05,8260873413565849600,7337,56662,530
1237645943973609569,44.1905216913048,0.944217770105078,19.771,18.64601,17.93077,17.50387,17.24255,0.1323255,1202607104532178944,1068,52614,531
1237645943973609571,44.1967624782676,0.898187550646279,21.14377,20.08737,19.72318,19.45819,19.30438,0.06360599,1758800291471321088,1562,53052,526
1237645943973609608,44.2704305288113,1.03171655050506,19.64993,18.09986,17.10175,16.62688,16.3351,0.1514933,461777597848643584,410,51877,577
1237645943973609616,44.2888025842743,0.893509777461581,19.60432,18.24687,17.54662,17.18493,16.93261,0.07254888,461776773214922752,410,51877,574
1237645943973609618,44.2901765177702,0.966028832495359,20.22921,18.30682,17.34083,16.89756,16.57812,0.07445111,461778147604457472,410,51877,579
1237645943973609651,44.1896150561732,0.95517731261892,20.6662,19.65183,19.16862,18.85278,18.70193,0.1095859,1758799466837600256,1562,53052,523
1237645943973609667,44.2615840595606,0.94227783857309,21.4663,20.46213,19.59911,19.13619,18.82318,0.223789,1758812935855040512,1562,53052,572
1237645943973609726,44.2310572685378,0.983263142787639,21.0745,20.21694,19.613,19.31551,19.53444,0.1882468,1202616450381015040,1068,52614,565
1237645943973609729,44.2415570930409,0.890063192796081,21.88259,21.82032,21.26077,20.92069,20.34123,0.9593299,8804741897845186560,7820,56984,744
1237645943973609779,44.1916582191237,1.05259674405966,25.2793,22.29494,20.92236,20.07653,19.59371,0.5303083,4776295645362233344,4242,55476,830
1237645943973609927,44.2725917539544,1.05977203398361,21.79489,20.33785,19.20146,18.66043,18.36837,0.1886894,1758810461953878016,1562,53052,563
1237645943973609994,44.3100015363353,0.995231702344647,22.32689,21.58528,19.9611,19.05829,18.75232,0.5295964,4776307190234324992,4242,55476,872
1237645943973610108,44.2326557717097,0.899325538243084,24.8281,23.52915,21.74602,20.38832,19.9386,0.6563572,4776296469995954176,4242,55476,833
1237645943973610114,44.2342140431717,0.918096809126493,24.94815,23.08984,21.00536,19.67224,18.95996,0.6902853,4776295920240140288,4242,55476,831
1237645943973610128,44.2455492727925,1.05938239829728,23.46166,23.63398,21.68654,20.28279,20.29825,0.6350499,4776294270972698624,4242,55476,825
1237645943973610187,44.2931462790592,1.01775969469043,24.626,23.85496,21.76109,20.71085,19.85972,0.689844,8804755366862626816,7820,56984,793
1237645943973610217,44.3159658788896,0.945727710794655,23.38008,23.44411,21.86055,20.81932,20.00599,0.53228,8804756466374254592,7820,56984,797
1237645943973610257,44.2023187798141,1.04052488730446,24.7324,25.42497,22.05832,20.72031,19.7793,0.4769722,8804743272234721280,7820,56984,749
1237645943973675097,44.4146489659888,0.990363786521587,20.4603,18.81464,18.15489,17.7868,17.60035,0.07472415,1202620023793805312,1068,52614,578
1237645943973675184,44.467397601229,0.886468308760939,20.32575,20.06967,19.7978,19.57714,19.1912,0.4100541,797304846058285056,708,52175,610
1237645943973675206,44.376878947888,0.994683812459155,21.07151,20.09495,19.17415,18.81943,18.3151,0.2978915,1758810736831784960,1562,53052,564
1237645943973675244,44.3866127426518,0.946891318025822,21.99181,20.46001,19.32168,18.8163,18.42431,0.1985384,1758814310244575232,1562,53052,577
1237645943973675384,44.3694644146042,0.971656048481766,26.22486,20.91536,19.47834,18.9334,18.48769,0.3234106,4776307739990138880,4242,55476,874
1237645943973675486,44.4226128034381,0.958800933239054,25.8272,21.76029,20.00594,19.0087,18.54549,0.5308802,1702516852577560576,1512,53742,568
1237645943973675526,44.4481577120168,0.908170078545512,20.84625,19.88491,19.04641,18.66838,18.42713,0.2220076,1702514928432211968,1512,53742,561
1237645943973675542,44.454333157431,0.969567104265955,23.29329,22.18138,22.14225,21.60317,21.62629,1.727683,8804767186612625408,7820,56984,836
1237645943973675674,44.4039020343149,0.939093622927267,22.84976,23.00827,21.40612,20.219,19.40518,0.7321731,8804752068327743488,7820,56984,781
1237645943973740744,44.4815181007564,0.978521130321206,22.0458,21.28178,21.65474,21.24052,21.41294,1.792828,8804765537345183744,7820,56984,830
1237645943974396133,46.1094040399854,1.04590604717694,19.10064,16.8149,15.60841,15.11939,14.75466,0.156453,798418651840538624,709,52205,566
1237645943974396134,46.1076773458288,1.04709195988339,20.35764,18.1697,17.00046,16.51065,16.19602,0.1531706,462903221870946304,411,51817,576
1237645943975575661,48.7780649505515,1.04660398916204,23.58185,20.37692,19.11336,18.63777,18.38258,0.2135938,1762124389161134080,1565,53002,331
1237645943975837722,49.2968088724208,1.04741016467355,18.5211,16.65724,15.9237,15.48312,15.17295,0.06675781,465099221536630784,413,51821,373
1237645943975837853,49.2755989687379,1.04702056745063,20.32591,19.33834,18.79022,18.42124,18.26366,0.06669576,905326092913502208,804,52286,373
1237645943976034423,49.7298010819877,1.04613752083197,20.26043,19.02534,18.56368,18.32345,18.17825,0.02389494,905345884122802176,804,52286,445
1237645943976493208,50.8270672659644,0.939875120075682,18.73592,17.4272,16.80908,16.47318,16.18574,0.03646222,465165741990111232,413,51821,615
1237645943976493216,50.8313689895524,0.895034010363321,20.68344,18.6949,17.56325,17.04217,16.59908,0.1031313,466211928109246464,414,51869,325
1237645943976493256,50.907931201466,0.991258724475301,19.39842,18.40464,18.17116,18.03709,17.93543,0.0222007,1198049078458476544,1064,52577,333
1237645943976493287,50.7805091573634,0.892136891116496,21.35825,20.04883,19.17889,18.77815,18.54567,0.2267069,465166016868018176,413,51821,616
1237645943976493290,50.786797241229,1.02659853355104,19.50301,18.32952,17.64112,17.26048,17.0331,0.1380212,466212477865060352,414,51869,327
1237645943976493292,50.7870270281853,0.884641140322364,22.95892,20.18197,18.40692,17.78496,17.41217,0.3090246,1762199980585543680,1565,53002,606
1237645943976493294,50.7929750109747,0.927009262171128,20.06419,18.7175,17.88697,17.4596,17.16274,0.1487097,801754844896454656,712,52199,415
1237645943976493300,50.8231679258718,0.952393127118078,22.77737,20.09065,18.60499,18.10824,17.73026,0.2495529,911023493347305472,809,52647,620
1237645943976493301,50.8307161126843,0.976061392235547,20.24336,18.96328,17.92061,17.41211,17.04753,0.1628011,1198046879435220992,1064,52577,325
1237645943976493306,50.8642028707809,0.959878031483165,21.88467,19.912,18.63855,18.14117,17.78924,0.1952272,1763249464451033088,1566,53003,328
1237645943976493319,50.8046880289142,0.992103630431321,22.34869,20.0913,18.55439,17.94346,17.60077,0.3182826,911021844079863808,809,52647,614
1237645943976493332,50.9066464313082,1.02155514796771,23.98771,21.11526,19.73831,18.50679,17.80876,0.0002358177,801752370995292160,712,52199,406
1237645943976493336,50.769166239116,0.913951955461709,21.68376,20.73184,20.04118,19.81058,19.53287,0.3104864,801755119774361600,712,52199,416
1237645943976493341,50.7797038528209,0.885646376952014,23.94553,22.58903,20.4778,19.58395,19.23685,0.5887405,1763250014206846976,1566,53003,330
1237645943976493342,50.7775163621719,0.883237393861346,21.5328,21.06651,20.51501,19.94328,19.60336,3.784543,1198047978946848768,1064,52577,329
1237645943976493368,50.8392797400724,0.979660202915206,21.26942,20.18156,19.33636,18.97832,18.58214,0.3177549,801751546361571328,712,52199,403
